uid;title;source_site;source_id_string;thumbnail;is_visible;created_date;modified_date;short_desc;posted_by_id
25;Sky Wikluh - Pazi sta radis;youtube;O8mGkct3oys;static/sonovsite/son/sky_wikluh_pazi_sta_radis.jpg;t;2017-04-07 00:00:00+02;2017-04-05 21:54:07.256956+02;Ce morceau bien dark fait partie de la BO de Serbian Film.;3
42;boston 168 - terror acid;youtube;nLk72d1WlFE;static/sonovsite/son/boston_168_-_terror_acid.PNG;t;2017-04-14 19:23:38+02;2017-04-14 19:24:15.022709+02;On avait déjà New York 1997...;2
29;Miike Snow - The wave;youtube;nk1gaE1G7JM;static/sonovsite/son/miike_snow_the_wave.jpg;t;2017-05-01 00:00:00+02;2017-04-15 09:45:43.336416+02;Le son étrange de Miike Snow, presque post-rock.;3
26;Lorn - Sega sunset;youtube;mauV2NdCs60;static/sonovsite/son/lorn_sega_sunset.jpg;t;2017-04-09 00:00:00+02;2017-04-05 21:55:29.767832+02;Beau et triste. Les images viennent de Meikyuu Monogatari;3
34;ASC - Fulcrum;youtube;16yI1DnS35A;static/sonovsite/son/asc_fulcrum.jpg;t;2017-04-08 22:01:26+02;2017-04-05 22:03:05.351743+02;;3
37;undercatt - futura;youtube;LGvIdBzVmnY;static/sonovsite/son/undercatt_futura.JPG;t;2017-04-09 11:16:46+02;2017-04-09 11:17:31.980792+02;Petite boucle entêtante du duo italien.;2
27;Kaly live dub - Allaxis;youtube;1IG3Ad-2_w4;static/sonovsite/son/kaly_live_dub_allaxis.jpg;t;2017-04-11 00:00:00+02;2017-04-11 09:58:38.288871+02;;3
30;Raveyards - Remember;youtube;C7xjJm8bUEA;static/sonovsite/son/raveyards_remember.jpg;t;2017-04-17 00:00:00+02;2017-04-05 21:46:54.323034+02;Clip incroyable, pour un groupe très méconnu malgré son talent.;3
31;DyE - Fantasy;youtube;6QFwo57WKwg;static/sonovsite/son/dye_fantasy.jpg;t;2017-04-19 00:00:00+02;2017-04-05 21:50:30.133286+02;Une musique un peu molle mais quel clip :o;3
43;loïs plugged - modular;soundcloud;311880034;static/sonovsite/son/loïs_plugged_-_modular.PNG;t;2017-04-19 12:00:00+02;2017-04-14 19:34:01.833027+02;Branchez bien vos écouteurs !;2
32;Youth Lagoon - Raspberry cane;youtube;3ahTBaT4oKI;static/sonovsite/son/youth_lagoon_raspberry_cane.jpg;t;2017-04-21 00:00:00+02;2017-04-05 21:53:18.048703+02;Quel clip...;3
35;Danger - 4h30;youtube;S9QbU6eHjn4;static/sonovsite/son/danger_4h30.jpg;t;2017-04-23 00:00:00+02;2017-04-06 09:17:43.227248+02;Danger nous sort des merveilles à chaque fois, en voici une !;3
56;DyE ft. Egyptian - She's bad;youtube;WFuWPhlsyEI;static/sonovsite/son/dye_ft_egyptian_shes_bad.jpg;t;2017-05-21 00:00:00+02;2017-05-16 22:11:15.172399+02;Attention âmes sensibles s'abstenir.;3
54;Nigel Stanford - Cymatics;vimeo;111593305;static/sonovsite/son/nigel_stanford_cymatics.jpg;t;2017-05-23 00:00:00+02;2017-05-17 07:19:52.781636+02;A voir plus qu'à écouter !;3
36;Lorn - Weigh me down;youtube;UEBIsUsvheA;static/sonovsite/son/Lorn_-_Weigh_me_down.jpg;t;2017-04-26 00:00:00+02;2017-04-25 07:17:17.916963+02;;3
46;jay robinson - guttural;youtube;yx5UvIznoGg;static/sonovsite/son/jay_robinson_-_guttural.PNG;t;2017-04-26 22:21:46+02;2017-04-26 22:21:43.048024+02;Jay a fait tout ce qu'il pouvait !;2
39;Hash & Monty - Head rip;soundcloud;284440103;static/sonovsite/son/hash_and_monty_head_rip.jpg;t;2017-04-28 00:00:00+02;2017-04-27 06:57:30.763937+02;Il porte bien son nom ce morceau...;3
47;Getter - Head splitter;youtube;2YllipGl2Is;static/sonovsite/son/getter_head_split.jpg;t;2017-04-30 16:24:15+02;2017-04-30 16:24:31.159544+02;Gros respect pour le clip!;3
